PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
R Sanjay Yadav,Mumbai Indians,2022-2022,1,1,0,0,0,0,2,0,0,0,1,0,0,1,2.0,0,23,0,-,-,11.5,-,0,0
R Sathish,"Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians",2010-2016,34,25,8,270,27*,15.88,231,116.88,0,0,2,22,6,14,23.1,0,232,3,1/11,77.33,10.01,46.3,0,0
R Sharma,"Deccan Chargers, Delhi Daredevils, Pune Warriors",2010-2014,44,20,6,66,14*,4.71,75,88,0,0,8,5,3,44,154.4,1,1086,40,3/13,27.15,7.02,23.2,0,0
R Shepherd,"Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru, Sunrisers Hyderabad",2022-2026,22,14,6,209,53*,26.12,100,209,0,1,2,14,18,18,42.0,0,499,13,3/54,38.38,11.88,19.3,0,0
R Shukla,"Delhi Daredevils, Mumbai Indians, Rajasthan Royals",2012-2014,7,4,3,19,14,19,23,82.6,0,0,0,2,0,7,20.0,0,208,5,2/28,41.6,10.4,24,0,0
R Tewatia,"Delhi Capitals, Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Rajasthan Royals",2014-2026,112,81,32,1146,53,23.38,836,137.08,0,1,3,93,55,52,140.3,0,1111,32,3/18,34.71,7.9,26.3,0,0
R Vinay Kumar,"Kochi Tuskers Kerala, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore",2008-2018,105,46,18,310,26*,11.07,274,113.13,0,0,4,21,9,104,353.4,1,2966,105,4/40,28.24,8.38,20.2,1,0
RA Bawa,"Mumbai Indians, Punjab Kings",2022-2025,5,3,1,19,11,9.5,18,105.55,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-
RA Jadeja,"Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Rajasthan Royals",2008-2026,258,200,83,3291,77*,28.12,2534,129.87,0,5,9,242,117,228,683.0,2,5245,173,5/16,30.31,7.67,23.6,3,1
RA Shaikh,Mumbai Indians,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0,0,11,0,-,-,11,-,0,0
RA Tripathi,"Chennai Super Kings, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Sunrisers Hyderabad",2017-2025,100,98,11,2291,93,26.33,1662,137.84,0,12,4,229,85,1,1.0,0,12,0,-,-,12,-,0,0
RD Chahar,"Chennai Super Kings, Mumbai Indians, Punjab Kings, Rising Pune Supergiant, Sunrisers Hyderabad",2017-2026,80,24,8,129,25*,8.06,124,104.03,0,0,8,13,5,79,282.2,1,2196,75,4/27,29.28,7.77,22.5,1,0
RD Gaikwad,Chennai Super Kings,2020-2026,75,74,8,2558,108*,38.75,1874,136.49,2,20,7,235,96,-,-,-,-,-,-,-,-,-,-,-
RD Rickelton,Mumbai Indians,2025-2026,18,17,1,486,81,30.37,315,154.28,0,4,0,53,26,-,-,-,-,-,-,-,-,-,-,-
RE Levi,Mumbai Indians,2012-2012,6,6,0,83,50,13.83,73,113.69,0,1,2,10,4,-,-,-,-,-,-,-,-,-,-,-
RE van der Merwe,"Delhi Daredevils, Royal Challengers Bangalore",2009-2013,21,15,4,159,35,14.45,141,112.76,0,0,0,11,8,21,73.5,1,498,21,3/20,23.71,6.74,21,0,0
RG More,Chennai Super Kings,2015-2015,2,1,1,2,2*,-,2,100,0,0,0,0,0,2,5.5,0,59,1,1/31,59,10.11,35,0,0
RG Sharma,"Deccan Chargers, Mumbai Indians",2008-2026,276,270,30,7164,109*,29.85,5404,132.56,2,48,18,651,309,32,56.3,0,453,15,4/6,30.2,8.01,22.6,1,0
RJ Gleeson,"Chennai Super Kings, Mumbai Indians",2024-2025,3,1,1,2,2*,-,2,100,0,0,0,0,0,3,11.2,0,110,2,1/30,55,9.7,34,0,0
RJ Harris,"Deccan Chargers, Kings XI Punjab",2009-2013,37,21,9,117,17,9.75,112,104.46,0,0,2,6,3,37,138.4,3,1047,45,4/34,23.26,7.55,18.4,1,0
RJ Peterson,Mumbai Indians,2012-2012,5,5,2,32,16*,10.66,30,106.66,0,0,1,3,1,4,8.0,0,70,3,3/37,23.33,8.75,16,0,0
RJ Quiney,Rajasthan Royals,2009-2009,7,7,0,103,51,14.71,102,100.98,0,1,0,12,3,-,-,-,-,-,-,-,-,-,-,-
RJW Topley,"Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru",2023-2025,6,1,1,3,3*,-,6,50,0,0,0,0,0,6,20.0,0,222,5,2/27,44.4,11.1,24,0,0
RK Bhui,"Delhi Capitals, Sunrisers Hyderabad",2018-2024,4,4,0,10,7,2.5,26,38.46,0,0,2,0,0,-,-,-,-,-,-,-,-,-,-,-
RK Singh,Kolkata Knight Riders,2018-2026,63,54,16,1171,67*,30.81,810,144.56,0,4,0,95,57,-,-,-,-,-,-,-,-,-,-,-
RM Patidar,"Royal Challengers Bangalore, Royal Challengers Bengaluru",2021-2026,46,42,3,1306,112*,33.48,811,161.03,1,11,1,87,86,-,-,-,-,-,-,-,-,-,-,-
RN ten Doeschate,Kolkata Knight Riders,2011-2015,29,22,8,326,70*,23.28,235,138.72,0,1,3,26,15,10,13.0,0,94,2,1/7,47,7.23,39,0,0
RP Meredith,"Mumbai Indians, Punjab Kings",2021-2023,18,3,3,0,0*,-,3,0,0,0,0,0,0,18,64.4,0,612,19,2/24,32.21,9.46,20.4,0,0
RP Singh,"Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore",2008-2016,82,30,15,52,10,3.46,76,68.42,0,0,5,2,1,82,295.5,2,2338,90,4/22,25.97,7.9,19.7,2,0
RR Bhatkal,Royal Challengers Bangalore,2012-2012,1,1,0,0,0,0,2,0,0,0,1,0,0,1,2.0,0,35,0,-,-,17.5,-,0,0
RR Bose,Kings XI Punjab,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2.0,0,24,0,-,-,12,-,0,0
RR Pant,"Delhi Capitals, Delhi Daredevils, Lucknow Super Giants",2016-2026,129,127,20,3656,128*,34.16,2486,147.06,2,20,6,332,171,-,-,-,-,-,-,-,-,-,-,-
RR Powar,"Kings XI Punjab, Kochi Tuskers Kerala",2008-2012,27,10,7,67,28*,22.33,64,104.68,0,0,1,6,1,26,71.0,0,527,13,2/11,40.53,7.42,32.7,0,0
RR Raje,Mumbai Indians,2008-2009,10,5,4,20,11*,20,18,111.11,0,0,0,1,1,10,23.1,0,209,6,2/16,34.83,9.02,23.1,0,0
RR Rossouw,"Delhi Capitals, Punjab Kings, Royal Challengers Bangalore",2014-2024,22,22,2,473,82*,23.65,308,153.57,0,2,4,45,25,-,-,-,-,-,-,-,-,-,-,-
RR Sarwan,Kings XI Punjab,2008-2008,4,4,0,73,31,18.25,75,97.33,0,0,0,6,1,-,-,-,-,-,-,-,-,-,-,-
RS Bopara,"Kings XI Punjab, Sunrisers Hyderabad",2009-2015,24,22,4,531,84,29.5,453,117.21,0,3,2,39,16,14,34.2,0,292,11,3/31,26.54,8.5,18.7,0,0
RS Gavaskar,Kolkata Knight Riders,2010-2010,2,1,0,2,2,2,8,25,0,0,0,0,0,1,1.0,0,8,0,-,-,8,-,0,0
RS Hangargekar,Chennai Super Kings,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6.0,0,60,3,3/36,20,10,12,0,0
RS Sodhi,Kings XI Punjab,2010-2010,3,1,1,4,4*,-,2,200,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
RT Ponting,"Kolkata Knight Riders, Mumbai Indians",2008-2013,10,9,0,91,28,10.11,128,71.09,0,0,3,5,2,-,-,-,-,-,-,-,-,-,-,-
RV Gomez,"Kochi Tuskers Kerala, Pune Warriors",2011-2013,13,9,4,50,26*,10,51,98.03,0,0,3,5,1,9,16.0,1,129,5,2/14,25.8,8.06,19.2,0,0
RV Patel,Delhi Capitals,2021-2023,9,7,2,80,23,16,73,109.58,0,0,0,6,2,1,3.0,0,22,0,-,-,7.33,-,0,0
RV Pawar,Mumbai Indians,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RV Uthappa,"Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore",2008-2022,205,197,17,4952,88,27.51,3799,130.35,0,27,8,481,182,-,-,-,-,-,-,-,-,-,-,-
RW Price,Mumbai Indians,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,33,0,-,-,11,-,0,0
Rahmanullah Gurbaz,Kolkata Knight Riders,2023-2025,19,18,1,363,81,21.35,269,134.94,0,2,2,34,22,-,-,-,-,-,-,-,-,-,-,-
Ramandeep Singh,"Kolkata Knight Riders, Mumbai Indians",2022-2026,35,22,10,231,35,19.25,150,154,0,0,1,10,17,4,6.4,0,63,6,3/20,10.5,9.45,6.6,0,0
Rashid Khan,"Gujarat Titans, Sunrisers Hyderabad",2017-2026,140,70,27,609,79*,14.16,382,159.42,0,1,16,44,41,140,547.3,4,3876,163,4/24,23.77,7.07,20.1,2,0
Rasikh Salam,"Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bengaluru",2019-2025,13,6,1,40,10,8,40,100,0,0,0,5,0,13,38.3,0,409,10,3/34,40.9,10.62,23.1,0,0
Ravi Bishnoi,"Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Rajasthan Royals",2020-2026,81,18,8,45,13,4.5,66,68.18,0,0,2,2,2,80,285.1,1,2351,81,4/41,29.02,8.24,21.1,1,0
